id,username,handle,date,text,replies,retweets,likes,bookmarks,views
1685822738227687424,WWE NXT,@WWENXT,2023-07-31T01:20:36.000Z,"HE CAN'T KEEP GETTING AWAY WITH THIS 
@DomMysterio35
 wins and is still the #WWENXT North American Champion...

#NXTGAB",526,1046,6550,51,666505
1685821889053159425,WWE,@WWE,2023-07-31T01:17:14.000Z,"@RheaRipley_WWE
 JUST SENT 
@WESLEE_WWE
 THROUGH THE ANNOUNCE DESK!!!

#NXTGAB",395,1612,12661,225,912547
1685820797024116736,WWE,@WWE,2023-07-31T01:12:53.000Z,"Three Amigos with a little twist...

Take that, 
@DomMysterio35
!

#NXTGAB",49,430,3476,41,287812
1685818944895045632,WWE,@WWE,2023-07-31T01:05:32.000Z,"You hear those boos?

The #WWENXT North American Champion 
@DomMysterio35
 and Women's World Champion 
@RheaRipley_WWE
 have arrived to #NXTGAB.",69,368,1994,42,189696
1685817714579750913,WWE,@WWE,2023-07-31T01:00:38.000Z,"@jacyjaynewwe
 just took out 
@Real_Valkyria
, but 
@RheaRipley_WWE
 is LOVING what she's seeing...

#NXTGAB",44,443,2592,64,269523
1685816646609305601,WWE,@WWE,2023-07-31T00:56:24.000Z,"This went from 0-100 REAL QUICK 

No one can stop 
@GableSteveson
 and 
@BaronCorbinWWE
 from getting their hands on each other! 

#NXTGAB",182,421,3089,61,530017
1685815036411809792,WWE,@WWE,2023-07-31T00:50:00.000Z,"Welcome to #WWENXT, 
@GableSteveson
 

#NXTGAB",139,307,1752,27,359136
1685813622071611392,WWE,@WWE,2023-07-31T00:44:23.000Z,"Burn The Ships. 
@BaronCorbinWWE
 has arrived to #NXTGAB.",145,719,4228,122,603018
1685812681461166080,WWE NXT,@WWENXT,2023-07-31T00:40:38.000Z,"That was AWESOME!
@roxanne_wwe
 wins the Weapons Wild Match 

#NXTGAB",201,1131,8316,59,379192
1685812208679133184,WWE,@WWE,2023-07-31T00:38:46.000Z,"OH MY GOD 
@roxanne_wwe
 

#NXTGAB",57,611,3889,59,316385
1685811198581768192,WWE,@WWE,2023-07-31T00:34:45.000Z,".
@roxanne_wwe
 has SNAPPED! 

#NXTGAB",58,548,4125,85,270993
1685809624342052864,WWE,@WWE,2023-07-31T00:28:29.000Z,"These two didn't want to wait at all! 

This Weapons Wild Match is already off to a hot start 

#NXTGAB",26,367,2058,26,175342
1685807006483972096,WWE NXT,@WWENXT,2023-07-31T00:18:05.000Z,"They did it!!!
@TonyDangeloWWE
 and 
@Channing_WWE
 are bringing the #WWENXT Tag Team Titles home to #TheFamily 

#NXTGAB",236,1217,6198,38,385520
1685806394635599872,WWE,@WWE,2023-07-31T00:15:39.000Z,"You just know 
@TonyDangeloWWE
 has been waiting for this moment 
@Channing_WWE
 #NXTGAB",28,271,1421,12,155087
1685803799150006272,WWE,@WWE,2023-07-31T00:05:21.000Z,"Can 
@TonyDangeloWWE
 and 
@Channing_WWE
 bring the #WWENXT Tag Team Titles home to #TheFamily?

We find out right now at The #NXTGAB!",31,239,1068,9,143484
1685802646047801344,WWE NXT,@WWENXT,2023-07-31T00:00:46.000Z,"LET'S DO THIS!

The #NXTGAB starts RIGHT NOW! ",34,253,1086,8,167419
1685800230254522369,WWE NXT,@WWENXT,2023-07-30T23:51:10.000Z,"What a way to kick things off! 

#NXTGAB",118,568,3718,23,244770
1685799338851622913,WWE,@WWE,2023-07-30T23:47:37.000Z,"As expected, this match has turned into CHAOS! 

#NXTGAB",47,431,3319,57,338230
1685796621638905856,WWE,@WWE,2023-07-30T23:36:49.000Z,"It is time!

The Eight-Person Mixed Tag Team Match starts right now on the #NXTGAB Kickoff Show!",18,220,1284,7,147169
1685794753487548416,WWE,@WWE,2023-07-30T23:29:24.000Z,"Is tonight the night 
@UNBESIEGBAR_ZAR
 becomes #WWENXT Champion?

#NXTGAB",14,132,720,3,110609
1685792513045495808,WWE,@WWE,2023-07-30T23:20:30.000Z,".
@BaronCorbinWWE
 is ready to make 
@GableSteveson
 regret ever signing with WWE. 

#NXTGAB",33,147,799,2,132817
